 *** ZZT:Watch ***
File: D:\ZZT\Watch_ZAKUCA1A-ZAKUCA1A_089.log
Computer: INEM1332-NB; User: anto.maric
Connection: Telnet 192.168.0.11:23
Target: D105OSCZ; Application: ZAKUCA1A-ZAKUCA1A
Start time: 21.2.2025. 15:03:14

Signals: 16
 1.    VGACT int16
 2.     PACT int16
 3.     QACT int16
 4.    VGREF int16
 5.    PACTH int16
 6.    QACTH int16
 7.    QHREF int16
 8.    VHACT int16
 9.    VHREF int16
10.  COSPHIH int16
11.  COSHREF int16
12.    IFACT int16
13.    UFACT int16
14.  COSHINC log16
15.  COSHDEC log16
16. COHREFCC int16

Data:
   9.987 -21524  11516  -7025  21978  11739  -8040      0 -22570  24179   5732      0   3434   3447 0 0   1000 
  10.069 -21524  11525  -7022  21978  11739  -8040      0 -22570  24179   5732      0   3433   3470 0 0   1000 
  10.160 -21523  11534  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3436   3461 0 0   1000 
  10.260 -21523  11534  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3435   3469 0 1   1000 
  10.359 -21523  11536  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3436   3464 0 0   1000 
  10.431 -21523  11527  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3437   3467 0 0   1000 
  10.514 -21523  11514  -7013  21978  11739  -8040      0 -22570  24179   5732      0   3438   3465 0 0   1000 
  10.614 -21523  11507  -7013  21978  11739  -8040      0 -22570  24179   5732      0   3432   3457 0 0   1000 
  10.713 -21523  11487  -7013  21978  11739  -8040      0 -22570  24179   5732      0   3431   3443 0 0   1000 
  10.813 -21521  11487  -7013  21978  11739  -8040      0 -22570  24179   5732      0   3432   3423 0 1   1000 
  10.912 -21522  11487  -7015  21978  11739  -8040      0 -22570  24179   5732      0   3432   3447 0 1   1000 
  10.986 -21520  11487  -7011  21978  11739  -8040      0 -22570  24179   5732      0   3429   3442 0 0   1000 
  11.068 -21520  11500  -7015  21978  11739  -8040      0 -22570  24179   5732      0   3430   3443 0 0   1000 
  11.185 -21519  11514  -7015  21978  11739  -8040      0 -22570  24179   5732      0   3434   3458 0 0   1000 
  11.284 -21518  11523  -7006  21978  11739  -8040      0 -22570  24179   5732      0   3434   3454 0 0   1000 
  11.409 -21519  11523  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3435   3461 0 0   1000 
  11.507 -21519  11514  -7015  21978  11739  -8040      0 -22570  24179   5732      0   3433   3466 0 1   1000 
  11.582 -21519  11505  -7013  21978  11739  -8040      0 -22570  24179   5732      0   3433   3449 0 0   1000 
  11.664 -21520  11489  -7011  21978  11739  -8040      0 -22570  24179   5732      0   3433   3445 0 0   1000 
  11.763 -21518  11487  -7006  21978  11739  -8040      0 -22570  24179   5732      0   3433   3453 0 0   1000 
  11.862 -21518  11496  -7011  21978  11739  -8040      0 -22570  24179   5732      0   3430   3429 0 0   1000 
  11.934 -21516  11507  -7011  21978  11739  -8040      0 -22570  24179   5732      0   3433   3461 0 0   1000 
  12.034 -21518  11507  -7020  21978  11739  -8040      0 -22570  24179   5732      0   3434   3453 0 0   1000 
  12.161 -21518  11498  -7020  21978  11698  -8053      0 -22570  24179   5765      0   3431   3447 0 1   1000 
  12.260 -21518  11489  -7015  21978  11698  -8053      0 -22570  24179   5765      0   3431   3459 0 0   1000 
  12.393 -21517  11487  -7013  21978  11698  -8053      0 -22570  24179   5765      0   3430   3451 0 0   1000 
  12.501 -21521  11480  -7029  21978  11698  -8053      0 -22570  24179   5765      0   3430   3441 0 0   1000 
  12.590 -21521  11487  -7029  21978  11698  -8053      0 -22570  24179   5765      0   3425   3462 0 0   1000 
  12.717 -21521  11480  -7025  21978  11698  -8053      0 -22570  24179   5765      0   3427   3453 0 1   1000 
  12.791 -21521  11482  -7029  21978  11698  -8053      0 -22570  24179   5765      0   3428   3461 0 0   1000 
  12.873 -21521  11482  -7025  21978  11698  -8053      0 -22570  24179   5765      0   3428   3443 0 0   1000 
  12.958 -21519  11482  -7022  21978  11698  -8053      0 -22570  24179   5765      0   3429   3457 0 0   1000 
  13.042 -21522  11489  -7031  21978  11698  -8053      0 -22570  24179   5765      0   3429   3459 0 0   1000 
  13.130 -21522  11480  -7029  21978  11698  -8053      0 -22570  24179   5765      0   3423   3457 0 0   1000 
  13.230 -21521  11469  -7025  21978  11698  -8053      0 -22570  24179   5765      0   3425   3447 0 0   1000 
  13.344 -21523  11459  -7025  21978  11698  -8053      0 -22570  24179   5765      0   3421   3453 0 1   1000 
  13.444 -21523  11441  -7025  21978  11698  -8053      0 -22570  24179   5765      0   3423   3451 0 0   1000 
  13.526 -21523  11435  -7031  21978  11698  -8053      0 -22570  24179   5765      0   3421   3451 0 0   1000 
  13.643 -21523  11462  -7034  21978  11698  -8053      0 -22566  24179   5765      0   3424   3456 0 0   1000 
  13.742 -21522  11471  -7029  21978  11698  -8053      0 -22562  24179   5765      0   3425   3449 0 0   1000 
  13.825 -21523  11482  -7034  21978  11698  -8053      0 -22562  24179   5765      0   3427   3465 0 0   1000 
  13.952 -21522  11500  -7029  21978  11698  -8053      0 -22562  24179   5765      0   3429   3461 0 1   1000 
  14.052 -21520  11487  -7022  21978  11698  -8053      0 -22562  24179   5765      0   3427   3448 0 0   1000 
  14.125 -21523  11464  -7025  21978  11698  -8053      0 -22562  24179   5765      0   3427   3465 0 0   1000 
  14.210 -21524  11455  -7029  21978  11698  -8053      0 -22562  24179   5765      0   3426   3462 0 0   1000 
  14.309 -21524  11437  -7029  21978  11698  -8053      0 -22562  24179   5765      0   3424   3436 0 0   1000 
  14.394 -21523  11462  -7031  21978  11698  -8053      0 -22562  24179   5765      0   3422   3439 0 0   1000 
  14.466 -21524  11469  -7029  21978  11698  -8053      0 -22562  24179   5765      0   3424   3437 0 0   1000 
  14.539 -21523  11469  -7034  21978  11698  -8053      0 -22562  24179   5765      0   3426   3457 0 1   1000 
  14.638 -21524  11482  -7040  21978  11661  -8056      0 -22562  24179   5798      0   3426   3466 0 0   1000 
  14.738 -21526  11509  -7040  21978  11661  -8056      0 -22562  24179   5798      0   3428   3473 0 0   1000 
  14.822 -21526  11505  -7038  21978  11661  -8056      0 -22562  24179   5798      0   3428   3457 0 0   1000 
  14.937 -21526  11505  -7038  21978  11661  -8056      0 -22562  24179   5798      0   3432   3467 0 0   1000 
  15.036 -21524  11498  -7022  21978  11661  -8056      0 -22562  24179   5798      0   3429   3457 0 0   1000 
  15.120 -21526  11482  -7029  21978  11661  -8056      0 -22562  24179   5798      0   3430   3468 0 1   1000 
  15.220 -21526  11491  -7029  21978  11661  -8056      0 -22562  24179   5798      0   3429   3451 0 1   1000 
  15.319 -21526  11491  -7031  21978  11661  -8056      0 -22562  24179   5798      0   3426   3455 0 0   1000 
  15.391 -21526  11469  -7031  21978  11661  -8056      0 -22562  24179   5798      0   3428   3451 0 0   1000 
  15.518 -21524  11464  -7022  21978  11661  -8056      0 -22562  24179   5798      0   3425   3443 0 0   1000 
  15.590 -21527  11455  -7029  21978  11661  -8056      0 -22562  24179   5798      0   3425   3438 0 0   1000 
  15.691 -21527  11459  -7038  21978  11661  -8056      0 -22562  24179   5798      0   3423   3440 0 0   1000 
  15.789 -21527  11471  -7034  21978  11661  -8056      0 -22562  24179   5798      0   3425   3449 0 1   1000 
  15.872 -21526  11491  -7038  21978  11661  -8056      0 -22562  24179   5798      0   3428   3451 0 0   1000 
  15.972 -21524  11482  -7029  21978  11661  -8056      0 -22562  24179   5798      0   3429   3452 0 0   1000 
  16.071 -21527  11489  -7038  21978  11661  -8056      0 -22562  24179   5798      0   3427   3461 0 0   1000 
  16.196 -21526  11473  -7031  21978  11661  -8056      0 -22562  24179   5798      0   3427   3449 0 0   1000 
  16.285 -21528  11469  -7031  21978  11661  -8056      0 -22562  24179   5798      0   3426   3453 0 0   1000 
  16.369 -21526  11469  -7031  21978  11661  -8056      0 -22562  24179   5798      0   3426   3454 0 1   1000 
  16.467 -21527  11455  -7031  21978  11661  -8056      0 -22562  24179   5798      0   3424   3455 0 0   1000 
  16.566 -21527  11453  -7034  21978  11661  -8056      0 -22562  24179   5798      0   3422   3450 0 0   1000 
  16.640 -21528  11469  -7040  21978  11661  -8056      0 -22564  24179   5798      0   3422   3452 0 0   1000 
  16.738 -21526  11480  -7038  21978  11661  -8056      0 -22568  24179   5798      0   3428   3455 0 0   1000 
  16.822 -21526  11505  -7031  21978  11661  -8056      0 -22570  24179   5798      0   3429   3459 0 0   1000 
  16.920 -21526  11507  -7031  21978  11661  -8056      0 -22570  24179   5798      0   3430   3453 0 0   1000 
  17.003 -21526  11498  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3428   3448 0 1   1000 
  17.095 -21524  11505  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3428   3451 0 0   1000 
  17.193 -21526  11498  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3430   3463 0 0   1000 
  17.276 -21526  11500  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3427   3458 0 0   1000 
  17.376 -21526  11505  -7031  21978  11661  -8056      0 -22570  24179   5798      0   3432   3443 0 0   1000 
  17.458 -21524  11507  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3432   3447 0 0   1000 
  17.557 -21524  11489  -7022  21978  11661  -8056      0 -22570  24179   5798      0   3432   3445 0 0   1000 
  17.657 -21524  11482  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3430   3435 0 1   1000 
  17.756 -21523  11480  -7020  21978  11661  -8056      0 -22570  24179   5798      0   3429   3453 0 0   1000 
  17.829 -21523  11480  -7022  21978  11661  -8056      0 -22570  24179   5798      0   3428   3453 0 0   1000 
  17.913 -21522  11478  -7015  21978  11661  -8056      0 -22570  24179   5798      0   3429   3455 0 0   1000 
  18.013 -21521  11489  -7015  21978  11661  -8056      0 -22570  24179   5798      0   3429   3452 0 0   1000 
  18.112 -21518  11489  -7013  21978  11661  -8056      0 -22570  24179   5798      0   3429   3444 0 0   1000 
  18.210 -21522  11487  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3428   3453 0 1   1000 
  18.309 -21521  11500  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3430   3453 0 0   1000 
  18.382 -21521  11500  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3427   3457 0 0   1000 
  18.467 -21521  11489  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3430   3447 0 0   1000 
  18.540 -21520  11487  -7020  21978  11661  -8056      0 -22570  24179   5798      0   3429   3451 0 0   1000 
  18.640 -21522  11471  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3428   3450 0 0   1000 
  18.722 -21521  11469  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3424   3431 0 0   1000 
  18.821 -21521  11471  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3426   3441 0 1   1000 
  18.923 -21521  11471  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3427   3459 0 0   1000 
  19.022 -21520  11478  -7020  21978  11661  -8056      0 -22570  24179   5798      0   3426   3447 0 0   1000 
  19.104 -21519  11482  -7022  21978  11661  -8056      0 -22570  24179   5798      0   3427   3449 0 0   1000 
  19.192 -21520  11469  -7022  21978  11661  -8056      0 -22570  24179   5798      0   3428   3429 0 0   1000 
  19.292 -21519  11455  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3424   3431 0 0   1000 
  19.391 -21518  11469  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3426   3429 0 1   1000 
  19.473 -21519  11469  -7031  21978  11661  -8056      0 -22570  24179   5798      0   3421   3453 0 1   1000 
  19.588 -21517  11489  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3427   3451 0 0   1000 
  19.671 -21519  11498  -7031  21978  11661  -8056      0 -22570  24179   5798      0   3427   3467 0 0   1000 
  19.771 -21520  11489  -7031  21978  11661  -8056      0 -22570  24179   5798      0   3427   3468 0 0   1000 
  19.870 -21520  11480  -7025  21978  11661  -8056      0 -22570  24179   5798      0   3429   3463 0 0   1000 
  19.942 -21520  11469  -7029  21978  11661  -8056      0 -22570  24179   5798      0   3428   3453 0 0   1000 
  20.043 -21520  11435  -7022  21978  11661  -8056      0 -22570  24179   5798      0   3424   3446 0 1   1000 
  20.125 -21520  11444  -7020  21978  11673  -8052      0 -22570  24179   5798      0   3421   3444 0 0   1000 
